baslik,konum,fiyat,ilan_tarihi,marka,seri,trim,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ortalama_yakit_tuketimi,yakit_deposu,boya_degisen,takasa_uygun,kimden,tramer,model_tam
ATİLLA OTOMOTİV DEN PASSAT COMFORLİNE,"Tepedüzü Mh. Viranşehir, Şanlıurfa",1.615.000 TL,15 Ağustos 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2015,97.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Passat 1.6 TDi BlueMotion Comfortline
ASLIHAN OTOMOTİV'DEN HATASIZ NOKTA BOYASIZ,"Batıkent Mh. Eyyübiye, Şanlıurfa",1.325.000 TL,15 Ağustos 2025,Skoda,Octavia,1.6 TDI Style CR,2017,162.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Octavia 1.6 TDI Style CR
ÇAĞLAYAN OTOMOTİV FUL BAKIMLI ÇOK TEMİZ,"Kamberiye Mh. Haliliye, Şanlıurfa",408.000 TL,15 Ağustos 2025,Toyota,Yaris,1.0 Terra,2007,278.000 km,Düz,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,İkinci El,,,"1 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,,Yaris 1.0 Terra
"DALYAN'DAN 2006 RENAULT CLİO 1,2 AUTHENTİQUE","Sancaktar Mh. Haliliye, Şanlıurfa",357.000 TL,15 Ağustos 2025,Renault,Clio,1.2 Authentique,2006,220.214 km,Düz,Benzin,Hatchback/5,Gri,1200 cm3' e kadar,51 - 75 HP,Önden Çekiş,İkinci El,,,"2 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,,Clio 1.2 Authentique
-KADİR AUTO-2010-CİTROEN-C4-OTOMATİK -337.000KM,"Batıkent Mh. Eyyübiye, Şanlıurfa",450.000 TL,15 Ağustos 2025,Citroen,C4,1.6 HDi VTRPK,2010,337.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,4 boyalı,Takasa Uygun Değil,Galeriden,,C4 1.6 HDi VTRPK
ÇAĞLAYAN OTOMOTİVDEN EMSALSİZ GOLF7,"Kamberiye Mh. Haliliye, Şanlıurfa",750.000 TL,15 Ağustos 2025,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2012,235.000 km,Otomatik,Dizel,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,"1 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,,Golf 1.6 TDi BlueMotion Comfortline
Sahibinden Volkswagen Passat 1.6 TDi BlueMotion Trendline 2012 Model,"Dikili Mh. Suruç, Şanlıurfa",680.000 TL,14 Ağustos 2025,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2012,407.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"4,3 lt",70 lt,"4 değişen, 6 boyalı",Takasa Uygun,Sahibinden,,Passat 1.6 TDi BlueMotion Trendline
Kamu Personelinden 2022 Model Honda Civic 1.5 i-VTEC Eco Executive Plus Hatasız Boyasız,"Batıkent Mh. Karaköprü, Şanlıurfa",1.985.000 TL,14 Ağustos 2025,Honda,Civic,1.5 i-VTEC Eco Executive Plus,2022,38.000 km,Otomatik,LPG & Benzin,Sedan,Siyah,1498 cc,129 hp,Önden Çekiş,İkinci El,"6,5 lt",47 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,Civic 1.5 i-VTEC Eco Executive Plus
DİZİLMİŞ LEON,"Karadut Mh. Suruç, Şanlıurfa",760.000 TL,14 Ağustos 2025,Seat,Leon,1.6 TDI CR Style,2013,288.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden,,Leon 1.6 TDI CR Style
Uygun FİYATLI TOUC PLUS,"Batıkent Mh. Eyyübiye, Şanlıurfa",569.000 TL,14 Ağustos 2025,Renault,Fluence,1.5 dCi Touch Plus,2015,390.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"4,5 lt",60 lt,4 boyalı,Takasa Uygun,Galeriden,,Fluence 1.5 dCi Touch Plus
OKAYLAR OTOMOTİVDEN TEMİZ FLUENCE,"Selahaddin Eyyubi Mh. Haliliye, Şanlıurfa",535.000 TL,14 Ağustos 2025,Renault,Fluence,1.5 dCi Touch,2015,230.500 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"4,5 lt",60 lt,"1 değişen, 7 boyalı",Takasa Uygun Değil,Galeriden,,Fluence 1.5 dCi Touch
'İ.KARATAŞ OTOMOTİV'2024 CLIO+1.0 TCE+EVOLUTİON+GSR 2 PAKET,"Konuklu Mh. Haliliye, Şanlıurfa",1.265.000 TL,14 Ağustos 2025,Renault,Clio,1.0 TCe Evolution,2024,14.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Clio 1.0 TCe Evolution
Sahibinden Fiat Linea 1.3 Multijet Active Plus 2011 Model,"Akpınar Mh. Karaköprü, Şanlıurfa",360.000 TL,14 Ağustos 2025,Fiat,Linea,1.3 Multijet Active Plus,2011,315.500 km,Düz,Dizel,Sedan,Gri,1248 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,2 boyalı,,Sahibinden,,Linea 1.3 Multijet Active Plus
Sahibinden Volkswagen Golf 1.6 Primeline 2008 Model,"Narlıkuyu Mh. Karaköprü, Şanlıurfa",500.000 TL,14 Ağustos 2025,Volkswagen,Golf,1.6 Primeline,2008,314.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1595 cc,102 hp,Önden Çekiş,İkinci El,"7,9 lt",55 lt,1 değişen,,Sahibinden,,Golf 1.6 Primeline
2017 MERCEDES BENZ E180 AVANTGARDE İMZALI SERİ HATASIZ BOYASIZ,"Merkez Siverek, Şanlıurfa",2.490.000 TL,14 Ağustos 2025,Mercedes-Benz,E,180 Avantgarde,2017,170.500 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,E 180 Avantgarde
2024 FORD FOCUS 1.5 ECOBLUE TİTANİUM STİL NOKTA HATASIZ BOYASIZZ,"Merkez Siverek, Şanlıurfa",1.700.000 TL,14 Ağustos 2025,Ford,Focus,1.5 TDCi Titanium Stil,2024,57.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Focus 1.5 TDCi Titanium Stil
İLK SAHİBİNDEN Toyota auris iç dış tertemiz,"Atakent Mh. Karaköprü, Şanlıurfa",575.000 TL,14 Ağustos 2025,Toyota,Auris,1.33 Comfort,2012,246.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1329 cc,99 hp,Önden Çekiş,İkinci El,6 lt,55 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,,Auris 1.33 Comfort
BHZ AUTO'DAN AŞİRET PAKET,"Gölbaşı Mh. Viranşehir, Şanlıurfa",1.685.000 TL,14 Ağustos 2025,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2017,230.000 km,Otomatik,Dizel,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Passat 1.6 TDi BlueMotion Highline
HATASIZ BOYASIZ,"Selahaddin Eyyubi Mh. Haliliye, Şanlıurfa",1.285.000 TL,14 Ağustos 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2016,250.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,Passat 1.6 TDi BlueMotion Comfortline
Passatısıtım,"Karadut Mh. Suruç, Şanlıurfa",740.000 TL,14 Ağustos 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2011,317.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"4,3 lt",70 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Passat 1.6 TDi BlueMotion Comfortline
Yer uçağı satışda,"Karadut Mh. Suruç, Şanlıurfa",440.000 TL,14 Ağustos 2025,Volkswagen,Passat,2.0 TDi Comfortline,2006,455.000 km,Otomatik,Dizel,Sedan,Gri,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,18.0,Passat 2.0 TDi Comfortline
2017 PEUGEOT 301+1.6 HDI+192.000 KM+1 BOYA+K.K.TAKSİT İMKANI,"Merkez Eyyübiye, Şanlıurfa",630.000 TL,14 Ağustos 2025,Peugeot,301,1.6 HDi Active,2017,192.000 km,Düz,Dizel,Sedan,Beyaz,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,1 boyalı,Takasa Uygun,Galeriden,,301 1.6 HDi Active
2019 CITROEN C-ELYSEE+180.000 KM+BOYASIZ/DEĞİŞENSİZ+KK TAKSİT,"Merkez Eyyübiye, Şanlıurfa",695.000 TL,14 Ağustos 2025,Citroen,C-Elysee,1.5 BlueHDi Feel,2019,180.000 km,Düz,Dizel,Sedan,Beyaz,1499 cc,100 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,C-Elysee 1.5 BlueHDi Feel
2011 AUDİ A6 +277.000 KM+1 PARCA BOYA+SINIF TEMİZLİKTE,"Merkez Eyyübiye, Şanlıurfa",940.000 TL,14 Ağustos 2025,Audi,A6,A6 Sedan 2.0 TDI,2011,277.000 km,Otomatik,Dizel,Sedan,Beyaz,1968 cc,170 hp,Önden Çekiş,İkinci El,"6,2 lt",70 lt,1 boyalı,Takasa Uygun Değil,Galeriden,20000.0,A6 A6 Sedan 2.0 TDI
2013 CITROEN C-ELYSEE+1.6 HDI+KARTA TAKSİT İMKANI,"Merkez Eyyübiye, Şanlıurfa",315.000 TL,14 Ağustos 2025,Citroen,C-Elysee,1.6 HDi Attraction,2013,415.000 km,Düz,Dizel,Sedan,Gri,1560 cc,93 hp,Önden Çekiş,İkinci El,"4,3 lt",48 lt,"3 değişen, 6 boyalı",Takasa Uygun,Galeriden,9500.0,C-Elysee 1.6 HDi Attraction
2017 SKODA SUPERB+CAM TAVAN+İÇİ BEJ+180.000 KM+GENİŞ EKRAN,"Merkez Eyyübiye, Şanlıurfa",1.395.000 TL,14 Ağustos 2025,Skoda,SuperB,1.6 TDI Style,2017,180.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun Değil,Galeriden,,SuperB 1.6 TDI Style
2017 PEUGEOT 301+1.6 HDI+98.000 KM+K.K.TAKSİT+LANSMAN RENK,"Merkez Eyyübiye, Şanlıurfa",695.000 TL,14 Ağustos 2025,Peugeot,301,1.6 HDi Active,2017,98.500 km,Düz,Dizel,Sedan,Gri,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,5000.0,301 1.6 HDi Active
ESMERLERDEN TERTEMİZ TOCH SYMBOL !,"Batıkent Mh. Eyyübiye, Şanlıurfa",585.000 TL,14 Ağustos 2025,Renault,Symbol,1.5 dCi Touch,2013,189.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,75 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,1 değişen,Takasa Uygun,Galeriden,,Symbol 1.5 dCi Touch
"HİLAL OTOMOTİV,DEN 2019 MODEL RENAULT SEMBOL JOY PAKET 1.5 DCİ","Batıkent Mh. Eyyübiye, Şanlıurfa",710.000 TL,14 Ağustos 2025,Renault,Symbol,1.5 dCi Joy,2019,190.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Symbol 1.5 dCi Joy
Sahibinden hatasız boyasız hasar kayıtsız,"Batıkent Mh. Eyyübiye, Şanlıurfa",595.000 TL,14 Ağustos 2025,Renault,Symbol,1.5 dCi Joy,2016,208.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,Symbol 1.5 dCi Joy
"HİLAL OTOMOTİV,DEN 2017 MODEL RENAULT SEMBOL JOY PAKET 1.5 DCİ","Batıkent Mh. Eyyübiye, Şanlıurfa",580.000 TL,14 Ağustos 2025,Renault,Symbol,1.5 dCi Joy,2017,284.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,8700.0,Symbol 1.5 dCi Joy
SEVİLEN AUTO DAN ACİL UYGUN FİYAT,"Akşemsettin Mh. Eyyübiye, Şanlıurfa",175.000 TL,14 Ağustos 2025,Renault,Megane,1.6 RTA,1998,410.000 km,Düz,Benzin,Sedan,Yeşil,1598 cc,90 hp,Önden Çekiş,İkinci El,"7,2 lt",60 lt,11 boyalı,Takasa Uygun Değil,Galeriden,,Megane 1.6 RTA
AKDAĞLAR AUTO'DAN 2010 MODEL PASSAT 1.6 HATASIZ BOYASIZ,"Batıkent Mh. Eyyübiye, Şanlıurfa",735.000 TL,14 Ağustos 2025,Volkswagen,Passat,1.6 Comfortline,2010,375.000 km,Düz,Benzin,Sedan,Siyah,1595 cc,102 hp,Önden Çekiş,İkinci El,8 lt,70 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,Passat 1.6 Comfortline
HİLAL OTOMOTİV.DEN 2004 MODEL VOLKSWAGEN PASAT 1.6 TREND 102 LİK,"Batıkent Mh. Eyyübiye, Şanlıurfa",495.000 TL,14 Ağustos 2025,Volkswagen,Passat,1.6 Trendline,2004,235.000 km,Düz,Benzin,Sedan,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,3000.0,Passat 1.6 Trendline
2020 SKODA SUPERB PRESTIGE CAM TAVAN 135.000 KM HATASIZ BOYASIZ,"Batıkent Mh. Eyyübiye, Şanlıurfa",2.170.000 TL,14 Ağustos 2025,Skoda,SuperB,1.6 TDI Prestige,2020,135.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,SuperB 1.6 TDI Prestige
2018 BOYASIZ HATASIZ. PRESTİJ 120.000 km,"Şair Nabi Mh. Haliliye, Şanlıurfa",1.925.000 TL,14 Ağustos 2025,Skoda,SuperB,1.6 TDI Prestige,2018,120.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,,SuperB 1.6 TDI Prestige
2012 FUL+FUL FLUENCE,"Merkez Birecik, Şanlıurfa",570.000 TL,14 Ağustos 2025,Renault,Fluence,1.5 dCi Privilege,2012,370.000 km,Otomatik,Dizel,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun Değil,Galeriden,,Fluence 1.5 dCi Privilege
Memurdan düşük km polo,"Doğukent Mh. Karaköprü, Şanlıurfa",430.000 TL,14 Ağustos 2025,Volkswagen,Polo,1.2 TDi BlueMotion,2013,181.000 km,Düz,Dizel,Hatchback/5,Siyah,1199 cc,75 hp,Önden Çekiş,İkinci El,"3,4 lt",45 lt,11 boyalı,,Sahibinden,,Polo 1.2 TDi BlueMotion
Sahibinden Chevrolet Kalos 1.2 SE 2006 Model,"Narlıkuyu Mh. Karaköprü, Şanlıurfa",225.000 TL,14 Ağustos 2025,Chevrolet,Kalos,1.2 SE,2006,207.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1150 cc,72 hp,Önden Çekiş,İkinci El,"6,6 lt",45 lt,"2 değişen, 3 boyalı",,Sahibinden,,Kalos 1.2 SE
ERKAN AUTODAN 2019 FR HAYALET CAM TAVAN ANAHTARSIZ ÇALIŞTIRMA,"Ayvanat Mh. Siverek, Şanlıurfa",1.545.000 TL,14 Ağustos 2025,Seat,Leon,1.6 TDI FR,2019,74.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Leon 1.6 TDI FR
Sahibinden Opel Corsa 1.2 Enjoy 2004 Model,"Ertuğrul Gazi Mh. Haliliye, Şanlıurfa",305.000 TL,14 Ağustos 2025,Opel,Corsa,1.2 Enjoy,2004,206.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1199 cc,75 hp,Önden Çekiş,İkinci El,6 lt,44 lt,Tamamı orjinal,,Sahibinden,,Corsa 1.2 Enjoy
Sahibinden Renault Symbol 1.5 dCi Extreme 2008 Model,"Batıkent Mh. Karaköprü, Şanlıurfa",348.500 TL,14 Ağustos 2025,Renault,Symbol,1.5 dCi Extreme,2008,194.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1461 cc,65 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,"1 değişen, 2 boyalı",Takasa Uygun,Sahibinden,,Symbol 1.5 dCi Extreme
Sahibinden Peugeot 307 1.4 HDi XR 2004 Model,"Akpıyar Mh. Karaköprü, Şanlıurfa",365.000 TL,14 Ağustos 2025,Peugeot,307,1.4 HDi XR,2004,305.000 km,Düz,Dizel,Hatchback/5,Beyaz,1398 cc,69 hp,Önden Çekiş,İkinci El,"4,5 lt",60 lt,Belirtilmemiş,,Sahibinden,,307 1.4 HDi XR
SAĞLIKÇIDAN SIFIR MOTOR 6.000 KM DE,"Mehmetçik Mh. Karaköprü, Şanlıurfa",570.000 TL,14 Ağustos 2025,Citroen,C5,1.6 e-HDi Executive,2013,251.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1560 cc,117 hp,Önden Çekiş,İkinci El,"4,5 lt",71 lt,6 boyalı,,Sahibinden,,C5 1.6 e-HDi Executive
Sahibinden Skoda Fabia 1.4 Comfort 2002 Model,"Akpınar Mh. Karaköprü, Şanlıurfa",275.000 TL,14 Ağustos 2025,Skoda,Fabia,1.4 Comfort,2002,311.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi,1390 cc,75 hp,Önden Çekiş,İkinci El,"6,6 lt",45 lt,4 boyalı,Takasa Uygun,Sahibinden,,Fabia 1.4 Comfort
2018 SKODA OCTAVİA 1.6 TDİ DSG STYLE CAM TVN+İÇİBEJ+LEDFARSTOP,"Sırrın Mh. Haliliye, Şanlıurfa",1.225.000 TL,14 Ağustos 2025,Skoda,Octavia,1.6 TDI Style,2018,232.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun Değil,Galeriden,,Octavia 1.6 TDI Style
Sahibinden Hyundai i20 1.2 D-CVVT Jump 2013 Model,"Mevlana Mh. Ceylanpınar, Şanlıurfa",410.000 TL,14 Ağustos 2025,Hyundai,i20,1.2 D-CVVT Jump,2013,260.000 km,Düz,Benzin,Hatchback/5,Beyaz,1248 cc,85 hp,Önden Çekiş,İkinci El,"4,9 lt",45 lt,"3 değişen, 1 boyalı",,Sahibinden,,i20 1.2 D-CVVT Jump
Sahibinden Renault Fluence 1.5 dCi Business 2012 Model,"Sancak Mh. Karaköprü, Şanlıurfa",475.000 TL,14 Ağustos 2025,Renault,Fluence,1.5 dCi Business,2012,281.000 km,Düz,Dizel,Sedan,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,7 boyalı,,Sahibinden,,Fluence 1.5 dCi Business
Sahibinden Renault Megane 1.5 dCi Touch 2018 Model,"Doğukent Mh. Karaköprü, Şanlıurfa",1.120.000 TL,14 Ağustos 2025,Renault,Megane,1.5 dCi Touch,2018,175.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",49 lt,1 değişen,Takasa Uygun Değil,Sahibinden,,Megane 1.5 dCi Touch
FIRSAT ARAÇ HATASIZ ORJİNAL,"Sırrın Mh. Haliliye, Şanlıurfa",180.000 TL,14 Ağustos 2025,Renault,R 9,1.4 Broadway GTE,1992,205.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,R 9 1.4 Broadway GTE
Sahibinden Ford Fiesta 1.5 TDCi Titanium X 2013 Model,"Yeni Mh. Hilvan, Şanlıurfa",535.000 TL,14 Ağustos 2025,Ford,Fiesta,1.5 TDCi Titanium X,2013,198.000 km,Düz,Dizel,Hatchback/5,Mavi,1498 cc,75 hp,Önden Çekiş,İkinci El,"3,7 lt",42 lt,"1 değişen, 2 boyalı",,Sahibinden,,Fiesta 1.5 TDCi Titanium X
Sahibinden Toyota Yaris 1.3 Sol 2009 Model,"Doğukent Mh. Karaköprü, Şanlıurfa",630.000 TL,14 Ağustos 2025,Toyota,Yaris,1.3 Sol,2009,149.000 km,Yarı Otomatik,Benzin,Hatchback/5,Füme,1296 cc,87 hp,Önden Çekiş,İkinci El,"5,8 lt",42 lt,Belirtilmemiş,,Sahibinden,4000.0,Yaris 1.3 Sol
HATASIZZ!—BOYASIZ—CAM TAVANN Seat Leon 1.6 TDI Style 2016 Model,"Veysel Karani Mh. Haliliye, Şanlıurfa",997.500 TL,14 Ağustos 2025,Seat,Leon,1.6 TDI Style,2016,228.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,,Leon 1.6 TDI Style
Sahibinden Toyota Corolla 1.6 Terra 2003 Model,"Sehrince Mh. Harran, Şanlıurfa",515.000 TL,14 Ağustos 2025,Toyota,Corolla,1.6 Terra,2003,298.000 km,Düz,LPG & Benzin,Sedan,Beyaz,,,,İkinci El,,,Belirtilmemiş,,Sahibinden,,Corolla 1.6 Terra
Sahibinden Volkswagen Jetta 1.4 TSi BlueMotion Trendline 2016 Model,"Bahçe Mh. Siverek, Şanlıurfa",880.000 TL,14 Ağustos 2025,Volkswagen,Jetta,1.4 TSi BlueMotion Trendline,2016,147.000 km,Düz,Benzin,Sedan,Beyaz,1395 cc,125 hp,Önden Çekiş,İkinci El,"5,3 lt",55 lt,4 boyalı,,Sahibinden,,Jetta 1.4 TSi BlueMotion Trendline
Sahibinden Opel Vectra 1.6 Comfort 2004 Model,"Akpınar Mh. Karaköprü, Şanlıurfa",490.000 TL,14 Ağustos 2025,Opel,Vectra,1.6 Comfort,2004,320.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,100 hp,Önden Çekiş,İkinci El,"7,5 lt",61 lt,2 boyalı,,Sahibinden,,Vectra 1.6 Comfort
Sahibinden Renault Symbol 1.5 dCi Joy 2017 Model,"Yenişehir Mh. Viranşehir, Şanlıurfa",835.000 TL,14 Ağustos 2025,Renault,Symbol,1.5 dCi Joy,2017,85.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,Symbol 1.5 dCi Joy
Sahibinden Toyota Corolla 1.4 D-4D Comfort Extra 2011 Model,"Akbayır Mh. Karaköprü, Şanlıurfa",500.000 TL,14 Ağustos 2025,Toyota,Corolla,1.4 D-4D Comfort Extra,2011,293.000 km,Düz,Dizel,Sedan,Beyaz,1364 cc,,Önden Çekiş,İkinci El,"4,9 lt",55 lt,"3 değişen, 6 boyalı",,Sahibinden,,Corolla 1.4 D-4D Comfort Extra
Memurdan Volkswagen Passat 1.6 TDi BlueMotion Comfortline 2018 Model,"Maşuk Mh. Karaköprü, Şanlıurfa",1.675.000 TL,14 Ağustos 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2018,105.900 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,66 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,Passat 1.6 TDi BlueMotion Comfortline
Hatasız Boyasız 2014 model Ford focus,"Batıkent Mh. Eyyübiye, Şanlıurfa",755.000 TL,14 Ağustos 2025,Ford,Focus,1.6 TDCi Trend X,2014,249.000 km,Düz,Dizel,Sedan,Beyaz,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Galeriden,6.0,Focus 1.6 TDCi Trend X
Sahibinden Renault R 9 1.4 Broadway 1995 Model,"Yeşildirek Mh. Haliliye, Şanlıurfa",180.000 TL,14 Ağustos 2025,Renault,R 9,1.4 Broadway,1995,523.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Tamamı boyalı,,Sahibinden,,R 9 1.4 Broadway
2017 EGEA 1.3 Multijet Easy HATASIZ,"Merkez Mh. Birecik, Şanlıurfa",585.000 TL,14 Ağustos 2025,Fiat,Egea,1.3 Multijet Easy,2017,238.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,Önden Çekiş,İkinci El,"4,1 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,Egea 1.3 Multijet Easy
'İ.KARATAŞ OTOMOTİV'A7+SOĞUTMA+20JNT+360+SLİNE+VAKUM+BAYİİ,"Konuklu Mh. Haliliye, Şanlıurfa",6.235.000 TL,14 Ağustos 2025,Audi,A7,40 TDI,2022,73.000 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,A7 40 TDI
Sahibinden Mercedes - Benz C 180 Kompressor BlueEFFICIENCY AMG 2010 Model,"Batıkent Mh. Eyyübiye, Şanlıurfa",845.000 TL,14 Ağustos 2025,Mercedes-Benz,C,C 180 Kompressor BlueEFFICIENCY AMG,2010,318.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1597 cc,156 hp,Arkadan İtiş,İkinci El,"6,5 lt",66 lt,4 boyalı,Takasa Uygun,Sahibinden,,C C 180 Kompressor BlueEFFICIENCY AMG
